area_name,count,average,perc
Москва,91053,69512.27306179187,28.637161350384016
Санкт-Петербург,29215,57230.609864031285,9.188436063078306
Новосибирск,7327,52554.15180764345,2.30442139428974
Екатеринбург,6686,52298.846352621484,2.1028199047660983
Красноярск,3370,48093.42736014249,1.0599017467935612
Краснодар,5012,47363.70248324791,1.576328651314341
Нижний Новгород,6140,42753.221903827405,1.9310969511312959
Самара,4430,41680.95540133237,1.393283305132189
Ростов-на-Дону,5100,41323.70428743732,1.604005610874529
Воронеж,5119,40815.46350901834,1.6099813180522968
Казань,7171,40424.317375935825,2.255357693251225
Уфа,3209,39869.67415174939,1.009265491234581
Алматы,6681,37898.270411046884,2.1012473502456332
Киев,4554,36801.831031727845,1.4322826572397265
Минск,10477,21749.05989847023,3.2951307421828315
